iso3,country,year,sub_region_name,region_name,sdg_region,variable,question_number,source_name,population,count,comment_from_country,sex,Order 
ARG,Argentina,2016,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,43900313.5,7.1,,male,1
BEL,Belgium,2024,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,11738763.5,2.6,,male,1
BEN,Benin,2021,Western Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,13413417,3.340862513,Survey sample covers women and men aged 15-49,male,1
BLR,Belarus,2019,Eastern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,9435419.5,1.478674889,Survey sample covers women aged 15-49 and men aged 15-59,male,1
BOL,Bolivia (Plurinational State of),2018,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,11508368,4.2,,male,1
BRA,Brazil,2019,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,SDG,207455459.5,4,,male,1
CAF,Central African Republic,2018,Middle Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,4878657,9.656460762,Survey sample covers women and men aged 15-49,male,1
CAN,Canada,2019,Northern America,Americas,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,SDG,37782934.5,2.5,,male,1
CHE,Switzerland,2021,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,8707023.5,1.5,,male,1
CHL,Chile,2023,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,19658835,3.4,,male,1
CMR,Cameroon,2018,Middle Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,SDG,24806383,14.1,,male,1
COD,Democratic Republic of the Congo,2017,Middle Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,87083398,13.19696903,Survey sample covers women and men aged 15-49,male,1
COM,Comoros,2022,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,834188,6.412486076,Survey sample covers women and men aged 15-49,male,1
CPV,Cabo Verde,2016,Western Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,512554.5,6.3,,male,1
CUB,Cuba,2019,Caribbean,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,11202846.5,0.762807906,Survey sample covers women and men aged 15-49,male,1
DEU,Germany,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,83628708.5,3,,male,1
FJI,Fiji,2021,Melanesia,Oceania,Oceania (M49) excluding Australia and New Zealand (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,916711,7.000496387,Survey sample covers women and men aged 15-49,male,1
FRA,France,2019,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,65729459,2.6,,male,1
GBR_E_W,United Kingdom (England and Wales),2024,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,SDG,,1.6,,male,1
GBR_S,United Kingdom (Scotland),2023,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,5490100,3.4,,male,1
GEO,Georgia,2018,Western Asia,Asia,Western Asia (M49) and Northern Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,3794877,0.596468687,Survey sample covers women and men aged 15-49,male,1
GUY,Guyana,2019,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,807665,9.761731148,Survey sample covers women and men aged 15-49,male,1
HND,Honduras,2019,Central America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,9943633.5,7.20603466,Survey sample covers women aged 15-49 and men aged 15-59,male,1
ISR,Israel,2024,Western Asia,Asia,Western Asia (M49) and Northern Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,9387021,1.7183,,male,1
ITA,Italy,2023,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,59499453,1.2,,male,1
KIR,Kiribati,2018,Micronesia,Oceania,Oceania (M49) excluding Australia and New Zealand (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,122083.5,7.502119064,Survey sample covers women and men aged 15-49,male,1
KOR,Republic of Korea,2016,Eastern Asia,Asia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,51297839,0.3,,male,1
LSO,Lesotho,2018,Southern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,2183603,11.47097969,Survey sample covers women and men aged 15-49,male,1
LUX,Luxembourg,2020,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,630597,4.819914809,,male,1
LVA,Latvia,2021,Northern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,SDG,1885587,19,,male,1
MDG,Madagascar,2018,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,27494926,10.69278908,Survey sample covers women and men aged 15-49,male,1
MEX,Mexico,2024,Central America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,130861007,6.8,"Fuente: Encuesta Nacional de Victimización y Percepción de Seguridad Pública (ENVIPE), 2022, 2023, 2024 y 2025.",male,1
MNE,Montenegro,2018,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,615795,4.422560692,Survey sample covers women and men aged 15-49,male,1
MNG,Mongolia,2018,Eastern Asia,Asia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,3167706,7.218921661,Survey sample covers women and men aged 15-49,male,1
MWI,Malawi,2019,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,19025752,15.10940075,Survey sample covers women and men aged 15-49,male,1
NZL,New Zealand,2024,Australia and New Zealand,Oceania,Australia and New Zealand (M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,5213944,2.8,,male,1
PAK,Pakistan,2019,Southern Asia,Asia,Central Asia (M49) and Southern Asia (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,230800898.5,4.108170986,Survey sample covers women and men aged 15-49,male,1
PRT,Portugal,2022,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,SDG,10417072.5,3.2,,male,1
SUR,Suriname,2018,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,599512.5,4.183549881,Survey sample covers women and men aged 15-49,male,1
SVN,Slovenia,2020,Southern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Males,7.1.6,CTS,2102419.5,1.22,,male,1
SWZ,Eswatini,2021,Southern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,1206593.5,6.403796673,Survey sample covers women and men aged 15-49,male,1
TCA,Turks and Caicos Islands,2019,Caribbean,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,43165.5,2.362068892,Survey sample covers women and men aged 15-49,male,1
TCD,Chad,2019,Middle Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,16685223,4.58704567,Survey sample covers women and men aged 15-49,male,1
THA,Thailand,2022,South-Eastern Asia,Asia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,71735329,0.40514645,Survey sample covers women and men aged 15-49,male,1
TON,Tonga,2019,Polynesia,Oceania,Oceania (M49) excluding Australia and New Zealand (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,105669.5,3.310843706,Survey sample covers women and men aged 15-49,male,1
TUN,Tunisia,2023,Northern Africa,Africa,Western Asia (M49) and Northern Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,12200431,2.504735708,Survey sample covers women and men aged 15-49,male,1
TUV,Tuvalu,2019,Polynesia,Oceania,Oceania (M49) excluding Australia and New Zealand (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,10581,4.724383354,Survey sample covers women and men aged 15-49,male,1
UGA,Uganda,2022,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,SDG,47312719.5,8.7,,male,1
VNM,Viet Nam,2020,South-Eastern Asia,Asia,Eastern Asia (M49) and South-eastern Asia (MDG=M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,98079191,1.203272343,Survey sample covers women and men aged 15-49,male,1
WSM,Samoa,2019,Polynesia,Oceania,Oceania (M49) excluding Australia and New Zealand (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,209779.5,5.691603661,Survey sample covers women and men aged 15-49,male,1
ZWE,Zimbabwe,2019,Eastern Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Males,7.1.6,MICS,15271367.5,11.14017105,Survey sample covers women and men aged 15-49,male,1
ARG,Argentina,2016,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,43900313.5,8.4,,female,2
BEL,Belgium,2024,Western Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,11738763.5,2.3,,female,2
BEN,Benin,2021,Western Africa,Africa,Sub-Saharan Africa (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,13413417,3.399020433,Survey sample covers women and men aged 15-49,female,2
BLR,Belarus,2019,Eastern Europe,Europe,Northern America (M49) and Europe (M49),Prevalence Rate of Physical violence Females,7.1.6,MICS,9435419.5,0.744566619,Survey sample covers women aged 15-49 and men aged 15-59,female,2
BOL,Bolivia (Plurinational State of),2018,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,CTS,11508368,3.7,,female,2
BRA,Brazil,2019,South America,Americas,Latin America and the Caribbean (MDG=M49),Prevalence Rate of Physical violence Females,7.1.6,SDG,207455459.5,4.2,,female,2
