GeoAreaName,Value
Afghanistan,17
Albania,63
Algeria,44
Azerbaijan,41
Argentina,49
Australia,63.8
Austria,69.5
Bahrain,88
Bangladesh,75
Armenia,91.2
Belgium,80.7
Bhutan,86
Bolivia (Plurinational State of),43
Bosnia and Herzegovina,53
Botswana,52
Brazil,32.7
Bulgaria,60
Myanmar,69
Burundi,62
Belarus,89
Cambodia,86
Cameroon,47
Canada,49.3
Central African Republic,28
Sri Lanka,70
Chad,38
Chile,32.9
China,68
Colombia,41.6
Comoros,32
Democratic Republic of the Congo,36
Costa Rica,56.2
Croatia,50
Cyprus,60
Czechia,58.7
Benin,40
Denmark,64.7
Dominican Republic,62
El Salvador,61
Ethiopia,52
Estonia,62
Finland,61
France,60.7
Gabon,26
Georgia,54
Gambia,77.9
State of Palestine,92
Germany,52.6
Ghana,56
Greece,30.3
Guatemala,26.7
Guinea,48
Haiti,24
Honduras,56
"China, Hong Kong Special Administrative Region",53
Hungary,41
Iceland,51.5
India,76
Indonesia,83
Iran (Islamic Republic of),48
Iraq,48
Ireland,65
Italy,48.2
Côte d'Ivoire,48
Jamaica,60
Japan,54
Kazakhstan,47
Jordan,62
Kenya,53
Republic of Korea,72.1
Kosovo (as per UNSCR 1244),61
Kuwait,86
Kyrgyzstan,70
Lao People's Democratic Republic,78
Lebanon,30
Lesotho,41
Latvia,54
Liberia,33
Libya,58
Lithuania,53
Luxembourg,72.6
Madagascar,39
Malawi,53
Malaysia,93
Maldives,38
Mali,11.7
Malta,77
Mauritania,43
Mauritius,76
Mexico,52.2
Mongolia,40
Montenegro,64
Morocco,25
Mozambique,66
Oman,85
Namibia,62
Nepal,64
Netherlands (Kingdom of the),67.1
New Zealand,46.2
Nicaragua,65
Niger,63
Nigeria,51
Norway,71
Pakistan,57
Panama,47
Paraguay,43
Peru,37
Philippines,87
Poland,51
Portugal,31.8
Puerto Rico,58
Romania,64
Russian Federation,41
Rwanda,76
Saudi Arabia,93
Senegal,55
Serbia,47
Sierra Leone,29
Singapore,91
Slovakia,26.3
Viet Nam,90
Slovenia,35.2
Somalia,51
South Africa,82
Zimbabwe,58
Spain,57.5
South Sudan,24
Eswatini,52
Sweden,57.4
Switzerland,73
Syrian Arab Republic,38
Tajikistan,91
Togo,35
Trinidad and Tobago,52
United Arab Emirates,91
Tunisia,68
Türkiye,63
Uganda,48
Ukraine,51
Egypt,42
United Kingdom of Great Britain and Northern Ireland,61
United States of America,75
Burkina Faso,49
Uruguay,62
Uzbekistan,81
Venezuela (Bolivarian Republic of),24
Yemen,32
Zambia,57
