Publication title,Agency,Publication year,Indicators,Link,Type,Chapter
Human Rights Count,OHCHR,2026,"16.1.2, 16.10.1, 16.10.2, 16.a.1, 16.b.1",https://innovation.ohchr.org/rightscount/,Flagship publication,Peace; Justice; Inclusion
Data Brief on Violence against Children at Home,UNICEF,2025,"16.2.1, 16.2.3",https://data.unicef.org/resources/violence-against-children-home-2025/,Flagship publication,Peace
The State of the World's Children 2025: Ending Child Poverty – Our Shared Imperative,UNICEF,2025,General,https://www.unicef.org/reports/state-of-worlds-children/2025,Flagship publication,General
"UNICEF's Action against Child Trafficking: Strengthening Systems to Prevent Child Trafficking, Protect Children, and Enable Recovery and Reintegration of Survivors",UNICEF,2025,16.2.2,https://www.unicef.org/reports/unicefs-action-against-child-trafficking,Flagship publication,Peace
When Numbers Demand Action: Confronting the Global Scale of Sexual Violence against Children,UNICEF,2024,"16.2.1, 16.2.3",https://data.unicef.org/resources/when-numbers-demand-action/,Flagship publication,Peace
Global Study on Homicide 2023,UNODC,2023,16.1.1,https://www.unodc.org/documents/data-and-analysis/gsh/2023/Global_study_on_homicide_2023_web.pdf,Flagship publication,Peace
Global Report on Trafficking in Persons 2024,UNODC,2024,16.2.2,https://www.unodc.org/documents/data-and-analysis/glotip/2024/GLOTIP2024_BOOK.pdf,Flagship publication,Peace
"Study on Trafficking in Persons and Smuggling of Migrants in the Context of the Displacement Caused by the War in Ukraine, 2025",UNODC,2025,16.2.2,https://www.unodc.org/documents/data-and-analysis/tip/studies/2025/TIP_Study_2025_eng.pdf,Flagship publication,Peace
Prison Matters 2026: Global Prison Population and Trends – A Focus on Prison-Community Engagement,UNODC,2026,16.3.2,https://www.unodc.org/unodc/en/data-and-analysis/prison-matters.html,Flagship publication,Justice
Research Brief on Transnational Organized Crime,UNODC,2026,"16.4.1, 16.4.2",https://www.unodc.org/documents/data-and-analysis/tocta/Brief_2026/Transnational_Organized_Crime_Brief_2026.pdf,Flagship publication,Justice
A Review of Existing Research on Smuggling of Migrants,UNODC,2026,General,"https://doi.org/10.37559/CWP/26/WAM/07",Flagship publication,General
"Violence against women prevalence estimates, 2023: global, regional and national prevalence estimates for intimate partner violence against women and non-partner sexual violence against women",WHO,2025,"16.1.1,16.1.3",https://www.unodc.org/documents/data-and-analysis/statistics/crime/Violence_against_women_prevalence_estimates_2023.pdf,Flagship publication,Peace
Small Arms and Light Weapons Flows and Transfer Controls,UNIDIR,2026,"16.4.1, 16.4.2",https://unidir.org/wp-content/uploads/2026/06/UNIDIR_Small-Arms-Light-Weapons-Flows-and-Transfer-Controls.pdf,Flagship publication,Justice
Global Study on Firearms Trafficking 2020,UNODC,2020,16.4.2,https://www.unodc.org/documents/data-and-analysis/Firearms/2020_REPORT_Global_Study_on_Firearms_Trafficking_2020_web.pdf,Flagship publication,Justice
Crime-related Illicit Financial Flows: Latest Progress,UNODC,2023,16.4.1,https://www.unodc.org/documents/data-and-analysis/IFF/2023/IFFs_Estimates_Report_2023-final-11dec2023.pdf,Flagship publication,Justice
Regional Study on Illicit Financial Flows from Drug Trafficking along the Northern Route,UNODC,2024,16.4.1,https://www.unodc.org/documents/data-and-analysis/IFF/IFF_Afghanistan_2022.pdf,Flagship publication,Justice
Regional Study on Illicit Financial Flows from Smuggling of Migrants and Trafficking in Persons from Selected Countries under GLO.ACT,UNODC,2023,16.4.1,https://www.unodc.org/documents/data-and-analysis/IFF/GLOACT_Study_on_Illicit_Financial_Flows.pdf,Flagship publication,Justice
Disarm Organized Crime: Strategic Approach against Illicit Firearms 2025–2030,UNODC,2025,16.4.2,https://www.unodc.org/documents/firearms-protocol/2025/Publications/Firearms_Strategic_Approach_FINAL_digital.pdf,Flagship publication,Justice
